DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;223
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;240,4
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;237,3
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;2;TARDE;2;MATEMÁTICA;240,2
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;230,4
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;240,3
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;199,5
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;195,7
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;182
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;2;TARDE;2;MATEMÁTICA;176,7
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;195,5
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;9;GERAL;2;MATEMÁTICA;191,4
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;218,1
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;236,8
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;208,5
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;2;TARDE;2;MATEMÁTICA;228,5
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;216,7
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;9;GERAL;2;MATEMÁTICA;235,6
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;247,1
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;259,6
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;237
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;2;TARDE;2;MATEMÁTICA;241,4
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;245,6
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,9
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;228,6
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;236,2
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;234,2
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;2;TARDE;2;MATEMÁTICA;241,7
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;232,1
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;9;GERAL;2;MATEMÁTICA;239,6
