NO_MUNICIPIO,TP_DEPENDENCIA,QT_DOC_BAS,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_0_3,QT_MAT_BAS_4_5,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_INTERNET,IN_QUADRA_ESPORTES,IN_REFEITORIO,ANO
São Paulo,2,95.0,1828.0,0.0,0.0,0.0,0.0,0.0,18.0,1385.0,425.0,1.0,1.0,1.0,0.0,1.0,2023
São Paulo,2,53.0,1170.0,0.0,577.0,0.0,0.0,2.0,512.0,598.0,58.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,29.0,551.0,0.0,326.0,0.0,0.0,2.0,312.0,228.0,9.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,50.0,1286.0,0.0,365.0,0.0,0.0,2.0,328.0,746.0,210.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,13.0,147.0,0.0,89.0,0.0,0.0,0.0,88.0,53.0,6.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,52.0,1098.0,561.0,537.0,0.0,0.0,533.0,521.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,67.0,1722.0,0.0,0.0,0.0,0.0,0.0,14.0,1413.0,295.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,52.0,1028.0,0.0,393.0,0.0,0.0,0.0,349.0,504.0,175.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,16.0,305.0,305.0,0.0,0.0,0.0,299.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,23.0,412.0,0.0,276.0,0.0,0.0,0.0,263.0,140.0,9.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,80.0,2023.0,0.0,552.0,0.0,0.0,1.0,524.0,1173.0,325.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,23.0,387.0,387.0,0.0,0.0,0.0,372.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,38.0,692.0,265.0,252.0,0.0,0.0,251.0,248.0,173.0,20.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,17.0,292.0,0.0,292.0,0.0,0.0,1.0,276.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,22.0,387.0,0.0,387.0,0.0,0.0,0.0,370.0,17.0,0.0,1.0,0.0,1.0,1.0,0.0,2023
