DEPADM;DepBol;NomeDepBol;codRMet;CODMUN;MUN;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;294,9
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;292,1
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;254,1
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;3;NOITE;2;MATEMÁTICA;275,3
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;3;NOITE;3;CIÊNCIAS;254,5
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;279,2
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;9;GERAL;2;MATEMÁTICA;291,3
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;9;GERAL;3;CIÊNCIAS;284,9
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;258,7
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;260,5
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;285
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;258,7
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;9;GERAL;2;MATEMÁTICA;260,5
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;9;GERAL;3;CIÊNCIAS;285
1;1;Rede Estadual;5;154;AGUAS DA PRATA;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;276
1;1;Rede Estadual;5;154;AGUAS DA PRATA;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;273,3
1;1;Rede Estadual;5;154;AGUAS DA PRATA;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;276,8
1;1;Rede Estadual;5;154;AGUAS DA PRATA;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;276
1;1;Rede Estadual;5;154;AGUAS DA PRATA;EM-3ª série;9;GERAL;2;MATEMÁTICA;273,3
1;1;Rede Estadual;5;154;AGUAS DA PRATA;EM-3ª série;9;GERAL;3;CIÊNCIAS;276,8
1;1;Rede Estadual;5;155;AGUAS DE SAO PEDRO;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;281,1
1;1;Rede Estadual;5;155;AGUAS DE SAO PEDRO;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;292,8
1;1;Rede Estadual;5;155;AGUAS DE SAO PEDRO;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;287
1;1;Rede Estadual;5;155;AGUAS DE SAO PEDRO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;281,1
1;1;Rede Estadual;5;155;AGUAS DE SAO PEDRO;EM-3ª série;9;GERAL;2;MATEMÁTICA;292,8
1;1;Rede Estadual;5;155;AGUAS DE SAO PEDRO;EM-3ª série;9;GERAL;3;CIÊNCIAS;287
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;241,9
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;242,3
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;258,5
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;236
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;253,7
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;2;TARDE;3;CIÊNCIAS;261,2
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;240
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;245,9
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;9;GERAL;3;CIÊNCIAS;259,3
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;271
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;266
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;273,6
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;257
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;3;NOITE;2;MATEMÁTICA;259,8
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;3;NOITE;3;CIÊNCIAS;259,3
